,episode,step,state,action,next_state
0,0,0,0,3,0
1,0,1,0,1,1
2,0,2,1,0,11
3,0,3,11,3,10
4,0,4,10,1,11
5,0,5,11,2,1
6,0,6,1,2,1
7,0,7,1,3,0
8,0,8,0,3,0
9,0,9,0,2,0
10,0,10,0,0,10
11,0,11,10,2,0
12,0,12,0,0,10
13,0,13,10,1,11
14,0,14,11,2,1
15,0,15,1,1,2
16,0,16,2,1,3
17,0,17,3,2,3
18,0,18,3,3,2
19,0,19,2,3,1
20,0,20,1,0,11
21,0,21,11,3,10
22,0,22,10,3,10
23,0,23,10,3,10
24,0,24,10,1,11
25,0,25,11,2,1
26,0,26,1,2,1
27,0,27,1,1,2
28,0,28,2,3,1
29,0,29,1,1,2
30,0,30,2,0,12
31,0,31,12,2,2
32,0,32,2,1,3
33,0,33,3,2,3
34,0,34,3,0,13
35,0,35,13,2,3
36,0,36,3,1,4
37,0,37,4,3,3
38,0,38,3,1,4
39,0,39,4,1,4
40,0,40,4,1,4
41,0,41,4,3,3
42,0,42,3,1,4
43,0,43,4,3,3
44,0,44,3,0,13
45,0,45,13,3,12
46,0,46,12,3,11
47,0,47,11,3,10
48,0,48,10,0,20
49,0,49,20,3,20
50,0,50,20,3,20
51,0,51,20,0,31
52,0,52,31,1,32
53,0,53,32,2,21
54,0,54,21,3,20
55,0,55,20,0,31
56,0,56,31,1,32
57,0,57,32,2,21
58,0,58,21,2,11
59,0,59,11,3,10
60,0,60,10,0,20
61,0,61,20,1,21
62,0,62,21,2,11
63,0,63,11,1,12
64,0,64,12,2,2
65,0,65,2,1,3
66,0,66,3,3,2
67,0,67,2,0,12
68,0,68,12,0,22
69,0,69,22,1,23
70,0,70,23,2,13
71,0,71,13,1,14
72,0,72,14,3,13
73,0,73,13,2,3
74,0,74,3,0,13
75,0,75,13,2,3
76,0,76,3,1,4
77,0,77,4,1,4
78,0,78,4,1,4
79,0,79,4,0,14
80,0,80,14,1,14
81,0,81,14,2,4
82,0,82,4,3,3
83,0,83,3,1,4
84,0,84,4,3,3
85,0,85,3,1,4
86,0,86,4,1,4
87,0,87,4,3,3
88,0,88,3,1,4
89,0,89,4,0,14
90,0,90,14,3,13
91,0,91,13,2,3
92,0,92,3,3,2
93,0,93,2,0,12
94,0,94,12,1,13
95,0,95,13,0,23
96,0,96,23,2,13
97,0,97,13,1,14
98,0,98,14,0,24
99,0,99,24,2,14
100,0,100,14,3,13
101,0,101,13,2,3
102,0,102,3,3,2
103,0,103,2,2,2
104,0,104,2,2,2
105,0,105,2,3,1
106,0,106,1,2,1
107,0,107,1,1,2
108,0,108,2,3,1
109,0,109,1,1,2
110,0,110,2,0,12
111,0,111,12,1,13
112,0,112,13,0,23
113,0,113,23,2,13
114,0,114,13,0,23
115,0,115,23,3,22
116,0,116,22,3,21
117,0,117,21,2,11
118,0,118,11,2,1
119,0,119,1,2,1
120,0,120,1,1,2
121,0,121,2,2,2
122,0,122,2,1,3
123,0,123,3,1,4
124,0,124,4,2,4
125,0,125,4,0,14
126,0,126,14,2,4
127,0,127,4,2,4
128,0,128,4,1,4
129,0,129,4,2,4
130,0,130,4,2,4
131,0,131,4,1,4
132,0,132,4,3,3
133,0,133,3,0,13
134,0,134,13,1,14
135,0,135,14,0,24
136,0,136,24,1,25
137,0,137,25,2,25
138,0,138,25,3,24
139,0,139,24,1,25
140,0,140,25,3,24
141,0,141,24,1,25
142,0,142,25,3,24
143,0,143,24,1,25
144,0,144,25,3,24
145,0,145,24,1,25
146,0,146,25,3,24
147,0,147,24,1,25
148,0,148,25,3,24
149,0,149,24,1,25
150,0,150,25,3,24
151,0,151,24,1,25
152,0,152,25,3,24
153,0,153,24,1,25
154,0,154,25,3,24
155,0,155,24,1,25
156,0,156,25,3,24
157,0,157,24,1,25
158,0,158,25,3,24
159,0,159,24,1,25
160,0,160,25,3,24
161,0,161,24,1,25
162,0,162,25,3,24
163,0,163,24,1,25
164,0,164,25,3,24
165,0,165,24,1,25
166,0,166,25,3,24
167,0,167,24,1,25
168,0,168,25,3,24
169,0,169,24,1,25
170,0,170,25,3,24
171,0,171,24,1,25
172,0,172,25,3,24
173,0,173,24,1,25
174,0,174,25,3,24
175,0,175,24,1,25
176,0,176,25,3,24
177,0,177,24,1,25
178,0,178,25,3,24
179,0,179,24,1,25
180,0,180,25,3,24
181,0,181,24,1,25
182,0,182,25,3,24
183,0,183,24,1,25
184,0,184,25,3,24
185,0,185,24,1,25
186,0,186,25,3,24
187,0,187,24,1,25
188,0,188,25,3,24
189,0,189,24,1,25
190,0,190,25,3,24
191,0,191,24,1,25
192,0,192,25,3,24
193,0,193,24,1,25
194,0,194,25,3,24
195,0,195,24,1,25
196,0,196,25,3,24
197,0,197,24,1,25
198,0,198,25,3,24
199,0,199,24,1,25
200,0,200,25,3,24
201,0,201,24,1,25
202,0,202,25,3,24
203,0,203,24,1,25
204,0,204,25,3,24
205,0,205,24,1,25
206,0,206,25,3,24
207,0,207,24,1,25
208,0,208,25,3,24
209,0,209,24,1,25
210,0,210,25,3,24
211,0,211,24,1,25
212,0,212,25,3,24
213,0,213,24,1,25
214,0,214,25,3,24
215,0,215,24,1,25
216,0,216,25,3,24
217,0,217,24,1,25
218,0,218,25,3,24
219,0,219,24,1,25
220,0,220,25,3,24
221,0,221,24,1,25
222,0,222,25,3,24
223,0,223,24,1,25
224,0,224,25,3,24
225,0,225,24,1,25
226,0,226,25,3,24
227,0,227,24,1,25
228,0,228,25,3,24
229,0,229,24,1,25
230,0,230,25,0,25
231,0,231,25,1,26
232,0,232,26,0,36
233,0,233,36,3,36
234,0,234,36,2,26
235,0,235,26,2,15
236,0,236,15,3,15
237,0,237,15,1,16
238,0,238,16,2,6
239,0,239,6,3,5
240,0,240,5,1,6
241,0,241,6,0,16
242,0,242,16,0,27
243,0,243,27,2,16
244,0,244,16,3,15
245,0,245,15,0,26
246,0,246,26,3,25
247,0,247,25,3,24
248,0,248,24,0,35
249,0,249,35,0,45
250,0,250,45,2,35
251,0,251,35,2,24
252,0,252,24,3,23
253,0,253,23,1,24
254,0,254,24,2,14
255,0,255,14,3,13
256,0,256,13,3,12
257,0,257,12,3,11
258,0,258,11,2,1
259,0,259,1,3,0
260,0,260,0,0,10
261,0,261,10,3,10
262,0,262,10,0,20
263,0,263,20,0,31
264,0,264,31,1,32
265,0,265,32,1,33
266,0,266,33,1,34
267,0,267,34,0,44
268,0,268,44,2,34
269,0,269,34,2,23
270,0,270,23,0,34
271,0,271,34,1,35
272,0,272,35,3,34
273,0,273,34,3,33
274,0,274,33,3,32
275,0,275,32,3,31
276,0,276,31,0,41
277,0,277,41,2,31
278,0,278,31,2,20
279,0,279,20,1,21
280,0,280,21,0,32
281,0,281,32,0,42
282,0,282,42,3,41
283,0,283,41,3,41
284,0,284,41,1,42
285,0,285,42,0,51
286,0,286,51,2,42
287,0,287,42,1,43
288,0,288,43,0,43
289,0,289,43,3,42
290,0,290,42,2,32
291,0,291,32,2,21
292,0,292,21,1,22
293,0,293,22,3,21
294,0,294,21,3,20
295,0,295,20,3,20
296,0,296,20,2,10
297,0,297,10,2,0
298,0,298,0,2,0
299,0,299,0,3,0
300,0,300,0,1,1
301,0,301,1,0,11
302,0,302,11,0,21
303,0,303,21,2,11
304,0,304,11,1,12
305,0,305,12,0,22
306,0,306,22,0,33
307,0,307,33,2,22
308,0,308,22,1,23
309,0,309,23,3,22
310,0,310,22,2,12
311,0,311,12,1,13
312,0,312,13,1,14
313,0,313,14,1,14
314,0,314,14,2,4
315,0,315,4,0,14
316,0,316,14,0,24
317,0,317,24,2,14
318,0,318,14,0,24
319,0,319,24,1,25
320,0,320,25,3,24
321,0,321,24,0,35
322,0,322,35,1,35
323,0,323,35,1,35
324,0,324,35,3,34
325,0,325,34,3,33
326,0,326,33,0,43
327,0,327,43,1,44
328,0,328,44,1,45
329,0,329,45,3,44
330,0,330,44,0,44
331,0,331,44,3,43
332,0,332,43,2,33
333,0,333,33,0,43
334,0,334,43,2,33
335,0,335,33,2,22
336,0,336,22,3,21
337,0,337,21,2,11
338,0,338,11,3,10
339,0,339,10,1,11
340,0,340,11,3,10
341,0,341,10,1,11
342,0,342,11,0,21
343,0,343,21,2,11
344,0,344,11,1,12
345,0,345,12,2,2
346,0,346,2,1,3
347,0,347,3,1,4
348,0,348,4,2,4
349,0,349,4,3,3
350,0,350,3,3,2
351,0,351,2,3,1
352,0,352,1,1,2
353,0,353,2,0,12
354,0,354,12,2,2
355,0,355,2,2,2
356,0,356,2,2,2
357,0,357,2,2,2
358,0,358,2,0,12
359,0,359,12,0,22
360,0,360,22,2,12
361,0,361,12,2,2
362,0,362,2,1,3
363,0,363,3,2,3
364,0,364,3,0,13
365,0,365,13,0,23
366,0,366,23,2,13
367,0,367,13,2,3
368,0,368,3,0,13
369,0,369,13,0,23
370,0,370,23,2,13
371,0,371,13,2,3
372,0,372,3,2,3
373,0,373,3,1,4
374,0,374,4,1,4
375,0,375,4,1,4
376,0,376,4,2,4
377,0,377,4,1,4
378,0,378,4,0,14
379,0,379,14,1,14
380,0,380,14,0,24
381,0,381,24,3,23
382,0,382,23,1,24
383,0,383,24,1,25
384,0,384,25,1,26
385,0,385,26,1,27
386,0,386,27,0,37
387,0,387,37,3,36
388,0,388,36,1,37
389,0,389,37,1,38
390,0,390,38,0,48
391,0,391,48,0,54
392,0,392,54,2,48
393,0,393,48,1,49
394,0,394,49,0,55
395,0,395,55,0,55
396,0,396,55,3,54
397,0,397,54,3,53
398,0,398,53,3,52
399,0,399,52,0,52
400,0,400,52,2,46
401,0,401,46,3,46
402,0,402,46,1,47
403,0,403,47,2,37
404,0,404,37,2,27
405,0,405,27,3,26
406,0,406,26,1,27
407,0,407,27,1,28
408,0,408,28,1,29
409,0,409,29,0,39
410,0,410,39,2,29
411,0,411,29,1,30
412,0,412,30,0,40
413,0,413,40,3,39
414,0,414,39,0,49
415,0,415,49,2,39
416,0,416,39,1,40
417,0,417,40,0,50
418,0,418,50,1,50
419,0,419,50,3,49
420,0,420,49,1,50
421,0,421,50,2,40
422,0,422,40,2,30
423,0,423,30,1,30
424,0,424,30,3,29
425,0,425,29,3,28
426,0,426,28,0,38
427,0,427,38,1,39
428,0,428,39,3,38
429,0,429,38,2,28
430,0,430,28,2,17
431,0,431,17,0,28
432,0,432,28,3,27
433,0,433,27,1,28
434,0,434,28,3,27
435,0,435,27,1,28
436,0,436,28,0,38
437,0,437,38,3,37
438,0,438,37,0,47
439,0,439,47,1,48
440,0,440,48,3,47
441,0,441,47,3,46
442,0,442,46,2,36
443,0,443,36,0,46
444,0,444,46,0,52
445,0,445,52,3,52
446,0,446,52,1,53
447,0,447,53,0,53
448,0,448,53,2,47
449,0,449,47,0,53
450,0,450,53,1,54
451,0,451,54,0,62
452,0,452,62,2,54
453,0,453,54,0,62
454,0,454,62,2,54
455,0,455,54,0,62
456,0,456,62,2,54
457,0,457,54,0,62
458,0,458,62,2,54
459,0,459,54,0,62
460,0,460,62,2,54
461,0,461,54,0,62
462,0,462,62,2,54
463,0,463,54,0,62
464,0,464,62,2,54
465,0,465,54,0,62
466,0,466,62,2,54
467,0,467,54,0,62
468,0,468,62,2,54
469,0,469,54,0,62
470,0,470,62,2,54
471,0,471,54,0,62
472,0,472,62,2,54
473,0,473,54,0,62
474,0,474,62,2,54
475,0,475,54,0,62
476,0,476,62,2,54
477,0,477,54,0,62
478,0,478,62,2,54
479,0,479,54,0,62
480,0,480,62,2,54
481,0,481,54,0,62
482,0,482,62,2,54
483,0,483,54,0,62
484,0,484,62,2,54
485,0,485,54,0,62
486,0,486,62,2,54
487,0,487,54,0,62
488,0,488,62,2,54
489,0,489,54,0,62
490,0,490,62,2,54
491,0,491,54,0,62
492,0,492,62,2,54
493,0,493,54,0,62
494,0,494,62,2,54
495,0,495,54,0,62
496,0,496,62,2,54
497,0,497,54,0,62
498,0,498,62,2,54
499,0,499,54,1,55
500,0,500,55,1,56
501,0,501,56,3,55
502,0,502,55,2,49
503,0,503,49,3,48
504,0,504,48,2,38
505,0,505,38,3,37
506,0,506,37,0,47
507,0,507,47,0,53
508,0,508,53,1,54
509,0,509,54,0,62
510,0,510,62,1,62
511,0,511,62,3,62
512,0,512,62,0,70
513,0,513,70,3,69
514,0,514,69,1,70
515,0,515,70,1,71
516,0,516,71,2,71
517,0,517,71,0,81
518,0,518,81,1,82
519,0,519,82,0,93
520,0,520,93,3,92
521,0,521,92,1,93
522,0,522,93,0,103
523,1,0,0,1,1
524,1,1,1,2,1
525,1,2,1,2,1
526,1,3,1,2,1
527,1,4,1,2,1
528,1,5,1,2,1
529,1,6,1,2,1
530,1,7,1,2,1
531,1,8,1,2,1
532,1,9,1,2,1
533,1,10,1,2,1
534,1,11,1,2,1
535,1,12,1,2,1
536,1,13,1,2,1
537,1,14,1,2,1
538,1,15,1,2,1
539,1,16,1,2,1
540,1,17,1,2,1
541,1,18,1,2,1
542,1,19,1,2,1
543,1,20,1,2,1
544,1,21,1,2,1
545,1,22,1,2,1
546,1,23,1,2,1
547,1,24,1,2,1
548,1,25,1,2,1
549,1,26,1,2,1
550,1,27,1,2,1
551,1,28,1,2,1
552,1,29,1,2,1
553,1,30,1,2,1
554,1,31,1,2,1
555,1,32,1,2,1
556,1,33,1,2,1
557,1,34,1,2,1
558,1,35,1,2,1
559,1,36,1,2,1
560,1,37,1,2,1
561,1,38,1,2,1
562,1,39,1,2,1
563,1,40,1,2,1
564,1,41,1,2,1
565,1,42,1,2,1
566,1,43,1,2,1
567,1,44,1,2,1
568,1,45,1,2,1
569,1,46,1,2,1
570,1,47,1,2,1
571,1,48,1,2,1
572,1,49,1,2,1
573,1,50,1,2,1
574,1,51,1,2,1
575,1,52,1,2,1
576,1,53,1,2,1
577,1,54,1,2,1
578,1,55,1,2,1
579,1,56,1,2,1
580,1,57,1,2,1
581,1,58,1,2,1
582,1,59,1,2,1
583,1,60,1,2,1
584,1,61,1,2,1
585,1,62,1,2,1
586,1,63,1,2,1
587,1,64,1,2,1
588,1,65,1,2,1
589,1,66,1,2,1
590,1,67,1,2,1
591,1,68,1,2,1
592,1,69,1,2,1
593,1,70,1,2,1
594,1,71,1,2,1
595,1,72,1,2,1
596,1,73,1,2,1
597,1,74,1,2,1
598,1,75,1,2,1
599,1,76,1,2,1
600,1,77,1,2,1
601,1,78,1,2,1
602,1,79,1,2,1
603,1,80,1,2,1
604,1,81,1,2,1
605,1,82,1,2,1
606,1,83,1,2,1
607,1,84,1,2,1
608,1,85,1,2,1
609,1,86,1,2,1
610,1,87,1,2,1
611,1,88,1,2,1
612,1,89,1,2,1
613,1,90,1,2,1
614,1,91,1,2,1
615,1,92,1,2,1
616,1,93,1,2,1
617,1,94,1,2,1
618,1,95,1,2,1
619,1,96,1,2,1
620,1,97,1,2,1
621,1,98,1,2,1
622,1,99,1,2,1
623,1,100,1,2,1
624,1,101,1,2,1
625,1,102,1,2,1
626,1,103,1,2,1
627,1,104,1,2,1
628,1,105,1,2,1
629,1,106,1,1,2
630,1,107,2,3,1
631,1,108,1,2,1
632,1,109,1,2,1
633,1,110,1,2,1
634,1,111,1,2,1
635,1,112,1,2,1
636,1,113,1,2,1
637,1,114,1,2,1
638,1,115,1,2,1
639,1,116,1,2,1
640,1,117,1,2,1
641,1,118,1,2,1
642,1,119,1,2,1
643,1,120,1,2,1
644,1,121,1,1,2
645,1,122,2,3,1
646,1,123,1,2,1
647,1,124,1,2,1
648,1,125,1,2,1
649,1,126,1,2,1
650,1,127,1,2,1
651,1,128,1,2,1
652,1,129,1,2,1
653,1,130,1,2,1
654,1,131,1,2,1
655,1,132,1,2,1
656,1,133,1,2,1
657,1,134,1,2,1
658,1,135,1,1,2
659,1,136,2,3,1
660,1,137,1,2,1
661,1,138,1,1,2
662,1,139,2,3,1
663,1,140,1,2,1
664,1,141,1,1,2
665,1,142,2,3,1
666,1,143,1,1,2
667,1,144,2,3,1
668,1,145,1,2,1
669,1,146,1,1,2
670,1,147,2,3,1
671,1,148,1,1,2
672,1,149,2,3,1
673,1,150,1,1,2
674,1,151,2,3,1
675,1,152,1,2,1
676,1,153,1,1,2
677,1,154,2,3,1
678,1,155,1,1,2
679,1,156,2,3,1
680,1,157,1,2,1
681,1,158,1,1,2
682,1,159,2,3,1
683,1,160,1,1,2
684,1,161,2,3,1
685,1,162,1,1,2
686,1,163,2,3,1
687,1,164,1,1,2
688,1,165,2,3,1
689,1,166,1,2,1
690,1,167,1,2,1
