,runtime
0,6.420425653457642
1,6.4686455726623535
2,6.417073726654053
3,7.73399806022644
4,6.549442529678345
5,6.4743101596832275
6,7.107563018798828
7,6.30569314956665
8,6.395854473114014
9,6.180963516235352
10,8.30083441734314
11,6.724305629730225
12,6.129976034164429
13,7.348152160644531
14,7.61310076713562
15,6.875074863433838
16,7.057392120361328
17,5.353230237960815
18,6.998352527618408
19,7.820059299468994
20,7.070973634719849
21,7.630793809890747
22,7.076748371124268
23,6.130537033081055
24,6.193979978561401
25,5.826750040054321
26,7.190559148788452
27,6.749222993850708
28,8.056395769119263
29,6.370681524276733
