,runtime
0,25.888169765472412
1,63.37316012382507
2,29.72349452972412
3,110.87078642845154
4,98.79781174659729
5,74.09266209602356
6,110.15520930290222
7,110.4788031578064
8,110.21353912353516
9,111.12204670906067
10,110.90673828125
11,11.744980812072754
12,110.4208254814148
13,111.61978268623352
14,110.17525362968445
15,44.117363929748535
16,110.56379318237305
17,111.34795427322388
18,110.28496932983398
19,111.25455474853516
20,110.62695074081421
21,111.34720778465271
22,110.43541741371155
23,110.52598690986633
24,4.3419201374053955
25,110.83888459205627
26,110.64098572731018
27,111.61074900627136
28,110.7606418132782
29,6.721329927444458
