,runtime
0,25.838032960891724
1,63.292561769485474
2,29.65277934074402
3,111.35739064216614
4,99.01955056190491
5,74.00022149085999
6,110.81455326080322
7,110.7816104888916
8,110.45779752731323
9,111.31652307510376
10,110.32092094421387
11,11.857044696807861
12,110.05385637283325
13,111.37665176391602
14,110.39323663711548
15,44.29852485656738
16,110.77036309242249
17,112.16216516494751
18,110.8416645526886
19,111.86956548690796
20,110.78494453430176
21,111.22914433479309
22,109.93525648117065
23,110.78937077522278
24,4.309342861175537
25,110.76844429969788
26,110.72437977790833
27,111.20722246170044
28,110.69497752189636
29,6.694955348968506
