,runtime
0,25.69803023338318
1,63.358625173568726
2,29.652339696884155
3,110.83485817909241
4,99.02521586418152
5,74.05843734741211
6,111.118243932724
7,110.27291178703308
8,110.34965538978577
9,111.3385865688324
10,110.78218126296997
11,11.871333122253418
12,110.20788931846619
13,111.32019782066345
14,110.74269962310791
15,43.900296688079834
16,110.409903049469
17,111.55832314491272
18,110.64534163475037
19,111.35323548316956
20,110.67946100234985
21,111.07555747032166
22,110.01853704452515
23,110.46552848815918
24,4.309682846069336
25,111.12251567840576
26,110.18408226966858
27,111.44913601875305
28,110.82724285125732
29,6.7510600090026855
