,0
0,2904
1,1536
2,10000
3,423
4,4469
5,4679
6,1134
7,942
8,4440
9,364
10,128
11,164
12,1641
13,919
14,3156
15,371
16,5482
17,2921
18,10000
19,9949
20,10000
21,10000
22,7610
23,507
24,7401
25,625
26,667
27,301
28,10000
29,304
30,166
31,330
32,183
33,204
34,5773
35,355
36,235
37,1020
38,108
39,203
40,387
41,371
42,611
43,522
44,642
45,711
46,1208
47,1090
48,153
49,1118
50,128
51,113
52,1496
53,686
54,128
55,982
56,789
57,157
58,807
59,10000
60,97
61,1768
62,4769
63,266
64,203
65,163
66,1004
67,392
68,411
69,127
70,268
71,10000
72,235
73,250
74,689
75,1233
76,107
77,152
78,1307
79,10000
80,10000
81,336
82,310
83,611
84,191
85,2442
86,111
87,1191
88,1040
89,182
90,1682
91,111
92,153
93,787
94,10000
95,209
96,142
97,322
98,564
99,419
100,799
101,265
102,2972
103,2037
104,339
105,7966
106,10000
107,174
108,93
109,636
110,10000
111,174
112,133
113,707
114,1485
115,719
116,182
117,8569
118,1002
119,793
120,138
121,903
122,280
123,3963
124,656
125,550
126,942
127,171
128,1015
129,534
130,10000
131,1167
132,3689
133,1590
134,429
135,339
136,445
137,92
138,548
139,979
140,729
141,437
142,144
143,390
144,1543
145,366
146,147
147,181
148,142
149,391
150,236
151,222
152,291
153,425
154,290
155,293
156,219
157,246
158,176
159,1847
160,410
161,144
162,578
163,249
164,481
165,238
166,277
167,290
168,408
169,2287
170,301
171,204
172,1106
173,887
174,288
175,405
176,354
177,247
178,81
179,590
180,299
181,333
182,1260
183,480
184,349
185,469
186,1156
187,273
188,244
189,679
190,230
191,1471
192,597
193,104
194,579
195,413
196,130
197,524
198,415
199,728
