,0
0,10000
1,10000
2,0
3,10000
4,10000
5,10000
6,10000
7,10000
8,10000
9,10000
10,10000
11,10000
12,10000
13,10000
14,10000
15,10000
16,10000
17,10000
18,0
19,10000
20,0
21,0
22,10000
23,10000
24,10000
25,10000
26,10000
27,10000
28,0
29,10000
30,10000
31,10000
32,10000
33,10000
34,10000
35,10000
36,10000
37,10000
38,10000
39,10000
40,10000
41,10000
42,10000
43,10000
44,10000
45,10000
46,10000
47,10000
48,10000
49,10000
50,10000
51,10000
52,10000
53,10000
54,10000
55,10000
56,10000
57,10000
58,10000
59,0
60,10000
61,10000
62,10000
63,10000
64,10000
65,10000
66,10000
67,10000
68,10000
69,10000
70,10000
71,0
72,10000
73,10000
74,10000
75,10000
76,10000
77,10000
78,10000
79,0
80,0
81,10000
82,10000
83,10000
84,10000
85,10000
86,10000
87,10000
88,10000
89,10000
90,10000
91,10000
92,10000
93,10000
94,0
95,10000
96,10000
97,10000
98,10000
99,10000
100,10000
101,10000
102,10000
103,10000
104,10000
105,10000
106,0
107,10000
108,10000
109,10000
110,0
111,10000
112,10000
113,10000
114,10000
115,10000
116,10000
117,10000
118,10000
119,10000
120,10000
121,10000
122,10000
123,10000
124,10000
125,10000
126,10000
127,10000
128,10000
129,10000
130,0
131,10000
132,10000
133,10000
134,10000
135,10000
136,10000
137,10000
138,10000
139,10000
140,10000
141,10000
142,10000
143,10000
144,10000
145,10000
146,10000
147,10000
148,10000
149,10000
150,10000
151,10000
152,10000
153,10000
154,10000
155,10000
156,10000
157,10000
158,10000
159,10000
160,10000
161,10000
162,10000
163,10000
164,10000
165,10000
166,10000
167,10000
168,10000
169,10000
170,10000
171,10000
172,10000
173,10000
174,10000
175,10000
176,10000
177,10000
178,10000
179,10000
180,10000
181,10000
182,10000
183,10000
184,10000
185,10000
186,10000
187,10000
188,10000
189,10000
190,10000
191,10000
192,10000
193,10000
194,10000
195,10000
196,10000
197,10000
198,10000
199,10000
